Potential (V)	Current (A)	
-0.150285989046097	-0.000118707619549241	
-0.15059269964695	-0.00011971974890912	
-0.151819512248039	-0.000119008189358283	
-0.152126222848892	-0.000121247147035319	
-0.152739644050598	-0.000116076080303174	
-0.153966456651688	-0.000124712925753556	
-0.154273167252541	-0.00012254758621566	
-0.155193284153938	-0.000118854841275606	
-0.155499994754791	-0.000128460887935944	
-0.156420111656189	-0.000122762270621024	
-0.156726822257042	-0.000123719204566441	
-0.15764693915844	-0.000126731058117002	
-0.158260345458984	-0.000122038451081607	
-0.159180477261543	-0.000118241427117027	
-0.160100594162941	-0.000130552623886615	
-0.161020711064339	-0.000120995646284427	
-0.161940827965736	-0.000122884957818314	
-0.162554234266281	-0.000126841478049755	
-0.162860944867134	-0.000123872552649118	
-0.16347436606884	-0.000123148725833744	
-0.163781061768532	-0.000129552761791274	
-0.165007889270782	-0.000122756144264713	
-0.165314599871635	-0.00012526499631349	
-0.166541427373886	-0.000127847466501407	
-0.166848123073578	-0.000123602658277377	
-0.167154833674431	-0.000127841340145096	
-0.168381661176682	-0.000127847466501407	
-0.168995067477226	-0.000121032455353998	
-0.170221894979477	-0.000126927348901518	
-0.17052860558033	-0.000130693704704754	
-0.171448722481728	-0.000124222206068225	
-0.172062143683434	-0.000132086148369126	
-0.172675549983978	-0.00012722791871056	
-0.173288956284523	-0.000131570879602805	
-0.174209088087082	-0.000130485146655701	
-0.174209088087082	-0.000131460474221967	
-0.17512920498848	-0.000127424209495075	
-0.175435900688171	-0.000138220275403	
-0.176969438791275	-0.000133355919388123	
-0.17758284509182	-0.000133693290990777	
-0.177889555692673	-0.000136226692120545	
-0.17880967259407	-0.000138336821692064	
-0.179116383194923	-0.000131380729726516	
-0.180036500096321	-0.000135466048959643	
-0.180956616997719	-0.000135153211886063	
-0.181876733899117	-0.000138091461849399	
-0.182490155100822	-0.000142434422741644	
-0.18341027200222	-0.000134447793243453	
-0.183716982603073	-0.000138128263643011	
-0.184330388903618	-0.000137839961098507	
-0.185250505805016	-0.000139036113978364	
-0.185863927006721	-0.000136465911054984	
-0.186477333307266	-0.000141219861689024	
-0.187397450208664	-0.000139171068440191	
-0.187704160809517	-0.000137238821480423	
-0.188930988311768	-0.0001444280060241	
-0.189237698912621	-0.000139490046421997	
-0.190157815814018	-0.00013904225488659	
-0.191077932715416	-0.00014231787645258	
-0.191384643316269	-0.00013395091809798	
-0.191998049616814	-0.000141367083415389	
-0.192918166518211	-0.000144133577123284	
-0.193531587719917	-0.000137398310471326	
-0.194451704621315	-0.000143121447763406	
-0.19506511092186	-0.000145072102895938	
-0.195371821522713	-0.000138858231366612	
-0.19629193842411	-0.000147973536513746	
-0.197212055325508	-0.000148096223711036	
-0.197518765926361	-0.000144924881169572	
-0.198438882827759	-0.000147599363117479	
-0.199052289128304	-0.000148789375089109	
-0.199665710330009	-0.000147059559822083	
-0.200279116630554	-0.000147323327837512	
-0.201199233531952	-0.000150427193148062	
